año;distrito;barrio;Total;mujer;hombre
1 de enero de 2019;16. Hortaleza;165. Apóstol Santiago;5.797;341;423
1 de enero de 2019;16. Hortaleza;166. Valdefuentes;19.945;1.692;2.117
1 de enero de 2019;17. Villaverde;17. Villaverde;53.333;3.129;3.699
1 de enero de 2019;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";16.378;1.037;1.207
1 de enero de 2019;17. Villaverde;172. San Cristóbal;5.116;246;369
1 de enero de 2019;17. Villaverde;173. Butarque;6.609;464;608
1 de enero de 2019;17. Villaverde;174. Los Rosales;13.206;773;849
1 de enero de 2019;17. Villaverde;175. Ángeles;12.024;609;666
1 de enero de 2019;18. Villa de Vallecas;18. Villa de Vallecas;42.237;3.953;4.614
1 de enero de 2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;14.839;982;1.221
1 de enero de 2019;18. Villa de Vallecas;182. Santa Eugenia;8.937;434;415
1 de enero de 2019;18. Villa de Vallecas;183. Ensanche de Vallecas;18.461;2.537;2.978
1 de enero de 2019;19. Vicálvaro;19. Vicálvaro;26.232;1.728;1.993
1 de enero de 2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;13.210;788;885
1 de enero de 2019;19. Vicálvaro;192. Valdebernardo;6.103;427;425
1 de enero de 2019;19. Vicálvaro;193. Valderrivas;6.304;458;575
1 de enero de 2019;19. Vicálvaro;194. El Cañaveral;615;55;108
1 de enero de 2019;20. San Blas-Canillejas;20. San Blas-Canillejas;59.896;4.194;4.814
1 de enero de 2019;20. San Blas-Canillejas;201. Simancas;10.877;946;1.003
1 de enero de 2019;20. San Blas-Canillejas;202. Hellín;3.694;226;261
1 de enero de 2019;20. San Blas-Canillejas;203. Amposta;3.361;221;309
1 de enero de 2019;20. San Blas-Canillejas;204. Arcos;8.976;545;639
1 de enero de 2019;20. San Blas-Canillejas;205. Rosas;11.061;661;696
1 de enero de 2019;20. San Blas-Canillejas;206. Rejas;6.689;658;870
1 de enero de 2019;20. San Blas-Canillejas;207. Canillejas;10.944;659;730
1 de enero de 2019;20. San Blas-Canillejas;208. El Salvador;4.294;278;306
1 de enero de 2019;21. Barajas;21. Barajas;18.269;1.357;1.461
1 de enero de 2019;21. Barajas;211. Alameda de Osuna;7.249;346;379
1 de enero de 2019;21. Barajas;212. Aeropuerto;687;38;79
1 de enero de 2019;21. Barajas;213. Casco Histórico de Barajas;3.119;313;325
1 de enero de 2019;21. Barajas;214. Timón;4.634;468;464
1 de enero de 2019;21. Barajas;215. Corralejos;2.580;192;214
1 de enero de 2020;Ciudad de Madrid;Ciudad de Madrid;1.307.682;117.998;116.863
1 de enero de 2020;01. Centro;01. Centro;69.187;11.695;13.596
1 de enero de 2020;01. Centro;011. Palacio;11.583;1.850;2.036
1 de enero de 2020;01. Centro;012. Embajadores;22.564;3.882;4.407
1 de enero de 2020;01. Centro;013. Cortes;5.449;927;1.071
1 de enero de 2020;01. Centro;014. Justicia;8.856;1.443;1.849
1 de enero de 2020;01. Centro;015. Universidad;16.913;2.985;3.406
1 de enero de 2020;01. Centro;016. Sol;3.822;608;827
1 de enero de 2020;02. Arganzuela;02. Arganzuela;65.670;7.402;6.708
1 de enero de 2020;02. Arganzuela;021. Imperial;9.689;1.056;902
1 de enero de 2020;02. Arganzuela;022. Acacias;15.565;1.676;1.343
1 de enero de 2020;02. Arganzuela;023. Chopera;8.653;942;772
1 de enero de 2020;02. Arganzuela;024. Legazpi;7.686;819;874
1 de enero de 2020;02. Arganzuela;025. Delicias;11.720;1.319;1.231
1 de enero de 2020;02. Arganzuela;026. Palos de la Frontera;11.923;1.552;1.544
1 de enero de 2020;02. Arganzuela;027. Atocha;434;38;42
1 de enero de 2020;03. Retiro;03. Retiro;49.152;4.415;3.822
1 de enero de 2020;03. Retiro;031. Pacífico;14.782;1.568;1.328
1 de enero de 2020;03. Retiro;032. Adelfas;7.772;779;702
1 de enero de 2020;03. Retiro;033. Estrella;8.735;432;392
1 de enero de 2020;03. Retiro;034. Ibiza;9.376;1.055;807
1 de enero de 2020;03. Retiro;035. Los Jerónimos;2.785;231;276
1 de enero de 2020;03. Retiro;036. Niño Jesús;5.702;350;317
1 de enero de 2020;04. Salamanca;04. Salamanca;63.477;8.110;6.311
1 de enero de 2020;04. Salamanca;041. Recoletos;6.693;937;808
1 de enero de 2020;04. Salamanca;042. Goya;13.313;1.763;1.303
1 de enero de 2020;04. Salamanca;043. Fuente del Berro;9.345;1.157;860
1 de enero de 2020;04. Salamanca;044. Guindalera;17.851;2.093;1.676
1 de enero de 2020;04. Salamanca;045. Lista;9.315;1.217;914
1 de enero de 2020;04. Salamanca;046. Castellana;6.960;943;750
1 de enero de 2020;05. Chamartín;05. Chamartín;58.797;5.892;5.195
1 de enero de 2020;05. Chamartín;051. El Viso;6.143;526;497
1 de enero de 2020;05. Chamartín;052. Prosperidad;16.066;1.788;1.505
1 de enero de 2020;05. Chamartín;053. Ciudad Jardín;8.097;909;785
1 de enero de 2020;05. Chamartín;054. Hispanoamérica;12.461;1.117;973
1 de enero de 2020;05. Chamartín;055. Nueva España;9.315;955;807
1 de enero de 2020;05. Chamartín;056. Castilla;6.715;597;628
1 de enero de 2020;06. Tetuán;06. Tetuán;67.306;8.298;7.753
1 de enero de 2020;06. Tetuán;061. Bellas Vistas;12.039;1.447;1.396
1 de enero de 2020;06. Tetuán;062. Cuatro Caminos;15.227;1.912;1.657
1 de enero de 2020;06. Tetuán;063. Castillejos;9.440;1.216;1.158
1 de enero de 2020;06. Tetuán;064. Almenara;9.400;1.044;1.052
1 de enero de 2020;06. Tetuán;065. Valdeacederas;10.763;1.399;1.286
1 de enero de 2020;06. Tetuán;066. Berruguete;10.437;1.280;1.204
1 de enero de 2020;07. Chamberí;07. Chamberí;62.643;8.454;6.977
1 de enero de 2020;07. Chamberí;071. Gaztambide;10.637;1.462;1.157
1 de enero de 2020;07. Chamberí;072. Arapiles;11.359;1.571;1.255
1 de enero de 2020;07. Chamberí;073. Trafalgar;11.859;1.913;1.580
1 de enero de 2020;07. Chamberí;074. Almagro;8.088;955;937
1 de enero de 2020;07. Chamberí;075. Ríos Rosas;12.221;1.610;1.325
1 de enero de 2020;07. Chamberí;076. Vallehermoso;8.479;943;723
1 de enero de 2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;91.650;6.107;6.236
1 de enero de 2020;08. Fuencarral-El Pardo;081. El Pardo;1.320;77;94
1 de enero de 2020;08. Fuencarral-El Pardo;082. Fuentelarreina;1.129;50;48
1 de enero de 2020;08. Fuencarral-El Pardo;083. Peñagrande;17.145;1.099;991
1 de enero de 2020;08. Fuencarral-El Pardo;084. Pilar;19.668;1.537;1.394
1 de enero de 2020;08. Fuencarral-El Pardo;085. La Paz;12.585;494;453
1 de enero de 2020;08. Fuencarral-El Pardo;086. Valverde;23.115;1.754;2.058
